code,term
0204000K0AABKBK,Metoprolol 12.5mg/5ml oral solution
0204000K0AABLBL,Metoprolol 12.5mg/5ml oral suspension
0204000K0AABMBM,Metoprolol 50mg/5ml oral solution
0204000K0AABNBN,Metoprolol 25mg tablets
0204000K0BB,Betaloc
0204000K0BBAAAB,Betaloc 50mg tablets
0204000K0BBABAC,Betaloc 100mg tablets
0204000K0BBACAA,Betaloc I.V. 5mg/5ml solution for injection ampoules
0204000K0BBADAD,Betaloc-SA 200mg tablets
0204000K0BD,Lopresor
0204000K0BDAAAB,Lopresor 50mg tablets
0204000K0BDABAC,Lopresor 100mg tablets
0204000K0BDACAD,Lopresor SR 200mg tablets
0204000K0BJ,Tensomex
0204000K0BJAAAC,Tensomex 100mg tablets
0204000T0,Sotalol hydrochloride
0204000T0AA,Sotalol hydrochloride
0204000T0AAABAB,Sotalol 40mg tablets
0204000T0AAACAC,Sotalol 80mg tablets
0204000T0AAAEAE,Sotalol 160mg tablets
0204000T0AAAFAF,Sotalol 200mg tablets
0204000T0AAAHAH,Sotalol 40mg/4ml solution for injection ampoules
0204000T0AAAMAM,Sotalol 40mg/5ml oral liquid
0204000T0AAANAN,Sotalol 20mg/5ml oral solution
0204000T0AAAPAP,Sotalol 50mg/5ml oral solution
0204000T0AAARAR,Sotalol 30mg/5ml oral solution
0204000T0AAASAS,Sotalol 10mg/5ml oral liquid
0204000T0AAATAT,Sotalol 25mg/5ml oral solution
0204000T0AAAUAU,Sotalol 80mg/5ml oral liquid
0204000T0AAAVAV,Sotalol 35mg/5ml oral solution
0204000T0AAAWAW,Sotalol 5mg/5ml oral solution
0204000T0AABABA,Sotalol 8mg/5ml oral solution
0204000T0AABCBC,Sotalol 25mg/5ml oral suspension
0204000T0AABDBD,Sotalol 50mg/5ml oral suspension
0204000T0BB,Beta-Cardone
0204000T0BBAAAB,Beta-Cardone 40mg tablets
0204000T0BBABAC,Beta-Cardone 80mg tablets
0204000T0BBACAF,Beta-Cardone 200mg tablets
0204000T0BC,Sotacor
0204000T0BCAAAC,Sotacor 80mg tablets
0204000T0BCABAE,Sotacor 160mg tablets
0204000T0BCADAH,Sotacor 40mg/4ml solution for injection ampoules
0204000U0,Atenolol with calcium channel blocker
0204000U0AA,Atenolol/nifedipine
0204000U0AAAAAA,Atenolol 50mg / Nifedipine 20mg modified-release capsules
0204000U0BB,Beta-Adalat
0204000U0BBAAAA,Beta-Adalat modified-release capsules
0204000U0BC,Tenif
0204000U0BCAAAA,Tenif 50mg/20mg modified-release capsules
0204000W0,Metoprolol tartrate with diuretic
0204000W0AA,Generic tablet
0204000W0AAAAAA,Metoprolol 100mg / Hydrochlorothiazide 12.5mg tablets
0204000W0AAABAB,Metoprolol 200mg MR / Hydrochlorothiazide 25mg tab
0204000W0BB,Co-Betaloc
0204000W0BBAAAA,Co-Betaloc tablets
0204000W0BBABAB,Co-Betaloc SA tablets
0205051V0AA,Trandolapril/verapamil hydrochloride
0205051V0AAAAAA,Verapamil 180mg modified-release / Trandolapril 2mg capsules
0206010W0,Isosorbide mononitrate with aspirin
0206010W0AA,Isosorbide mononitrate/aspirin
0206010W0AAAAAA,Aspirin 75mg / Isosorbide mononitrate 60mg MR tab
0206010W0AAABAB,Aspirin 150mg / Isosorbide mononitrate 60mg MR tab
0206010W0BB,Imazin
0206010W0BBAAAA,Imazin XL tablets
0206010W0BBABAB,Imazin XL forte tablets
0206020C0,Diltiazem hydrochloride
0206020C0AA,Diltiazem hydrochloride
0206020C0AAAAAA,Diltiazem 60mg modified-release tablets
0206020C0AAACAC,Diltiazem 90mg modified-release tablets
0206020C0AAAEAE,Diltiazem 300mg modified-release capsules
0206020C0AAAJAJ,Diltiazem 60mg modified-release capsules
0206020C0AAARAR,Diltiazem 60mg/5ml oral solution
0206020C0AAASAS,Diltiazem 120mg modified-release tablets
0206020C0AAATAT,Diltiazem 90mg modified-release capsules
0206020C0AAAUAU,Diltiazem 120mg modified-release capsules
0206020C0AAAVAV,Diltiazem 180mg modified-release capsules
0206020C0AAAWAW,Diltiazem 240mg modified-release capsules
0206020C0AAAXAX,Diltiazem 200mg modified-release capsules
0206020C0AAAZAZ,Diltiazem 90mg/5ml oral liquid
0206020C0AABABA,Diltiazem 360mg modified-release capsules
0206020C0AABBBB,Diltiazem 120mg/5ml oral solution
0206020C0AABCBC,Diltiazem 100mg/5ml oral solution
0206020C0AABEBE,Diltiazem 50mg/5ml oral solution
0206020C0AABFBF,Diltiazem 30mg/5ml oral solution
0206020C0AABGBG,Diltiazem 20mg/5ml oral solution
0206020C0AABHBH,Diltiazem 10mg/5ml oral solution
0206020C0AABIBI,Diltiazem 60mg/5ml oral suspension
0206020C0BB,Tildiem
0206020C0BBAAAA,Tildiem 60mg modified-release tablets
0206020C0BBABAC,Tildiem Retard 90mg tablets
0206020C0BBACAS,Tildiem Retard 120mg tablets
0206020C0BBADAE,Tildiem LA 300 capsules
0206020C0BBAEAX,Tildiem LA 200 capsules
0206020C0BC,Calcicard
0206020C0BCABAS,Calcicard CR 120mg tablets
0206020C0BCACAC,Calcicard CR 90mg tablets
0206020C0BE,Angiozem
0206020C0BEAAAA,Angiozem 60mg modified-release tablets
0206020C0BEABAC,Angiozem CR 90mg tablets
0206020C0BEACAS,Angiozem CR 120mg tablets
0206020C0BF,Adizem-SR
0206020C0BFAAAS,Adizem-SR 120mg tablets
